wood_DensityBasedClustering4minfeature.OBJECTID,wood_DensityBasedClustering4minfeature.SOURCE_ID,cluster,wood_DensityBasedClustering4minfeature.PROB,wood_DensityBasedClustering4minfeature.OUTLIER,wood_DensityBasedClustering4minfeature.EXEMPLAR,wood_DensityBasedClustering4minfeature.STABILITY,wood_DensityBasedClustering4minfeature.COLOR_ID,wood.FID,Suffix,Placename,State,Lat,Long
92,91,121,0.990604626,0.009395374,0,0.041493801,8,91,wood,Brentwood,AL,34.7006468,-86.740276
93,92,121,0.771763908,0.228236092,0,0.041493801,8,92,wood,Hillwood,AL,34.6375912,-86.5630471
94,93,121,1,0,1,0.041493801,8,93,wood,Northwood,AL,34.7784234,-86.7583323
95,94,121,1,0,1,0.041493801,8,94,wood,Oakwood,AL,34.7589796,-86.6694401
96,95,121,0.778162973,0.221837027,0,0.041493801,8,95,wood,Ridgewood,AL,34.6612022,-86.5286013
97,96,82,1,0,1,0.09180341,2,96,wood,Brentwood,AL,32.3401394,-86.2513561
98,97,126,1,0.111288113,0,0.228796238,8,97,wood,Arrow Wood,AL,33.1767859,-87.4988936
99,98,126,0.621323737,0.378676263,0,0.228796238,8,98,wood,Bellwood,AL,33.2262292,-87.5788961
100,99,126,1,0,1,0.228796238,8,99,wood,Brentwood,AL,33.219007,-87.4986159
101,100,126,1,0,1,0.228796238,8,100,wood,Briarwood,AL,33.2065073,-87.4888934
102,101,126,0.597144441,0.402855559,0,0.228796238,8,101,wood,Candlewood,AL,33.2598397,-87.6100082
103,102,126,0.597144441,0.402855559,0,0.228796238,8,102,wood,Chapelwood,AL,33.250951,-87.6288976
104,103,126,1,0,1,0.228796238,8,103,wood,Cherrywood,AL,33.2190069,-87.4838933
105,104,126,1,0.111288113,0,0.228796238,8,104,wood,Circlewood,AL,33.1903967,-87.5108384
106,105,126,0.597144441,0.402855559,0,0.228796238,8,105,wood,Crestwood,AL,33.229007,-87.5908408
107,106,126,0.594411728,0.405588272,0,0.228796238,8,106,wood,Deep Wood,AL,33.2148402,-87.4480591
108,107,126,1,0,1,0.228796238,8,107,wood,Fernwood,AL,33.1934522,-87.5363947
109,108,126,0.597144441,0.402855559,0,0.228796238,8,108,wood,Harperwood,AL,33.24734,-87.6333422
110,109,126,0.788220323,0.211779677,0,0.228796238,8,109,wood,Hillswood,AL,33.1845633,-87.4791709
111,110,126,1,0.111288113,0,0.228796238,8,110,wood,Idlewood,AL,33.1834524,-87.5144496
112,111,126,1,0,1,0.228796238,8,111,wood,Keenewood,AL,33.2153959,-87.4852823
113,112,126,0.412143664,0.587856336,0,0.228796238,8,112,wood,Lakewood,AL,33.297339,-87.5630623
114,113,126,0.381996833,0.618003167,0,0.228796238,8,113,wood,Loganwood,AL,33.2934501,-87.543895
115,114,126,1,0,1,0.228796238,8,114,wood,Parkwood,AL,33.1906746,-87.5522285
116,115,126,0.621323737,0.378676263,0,0.228796238,8,115,wood,Riverwood,AL,33.2412288,-87.5419505
117,116,126,0.706489977,0.293510023,0,0.228796238,8,116,wood,Rollingwood,AL,33.2290069,-87.5377838
118,117,126,1,0.111288113,0,0.228796238,8,117,wood,Rosewood,AL,33.2015075,-87.5161164
119,118,126,0.936639479,0.063360521,0,0.228796238,8,118,wood,Sherwood,AL,33.2170627,-87.5511174
120,119,126,1,0,1,0.228796238,8,119,wood,Southwood,AL,33.1748415,-87.541117
121,120,126,1,0,1,0.228796238,8,120,wood,Terri Wood,AL,33.1923411,-87.5366725
122,121,121,0.338689066,0.661310934,0,0.041493801,8,121,wood,Dogwood,AL,34.7714772,-87.1947386
123,122,121,0.326225789,0.673774211,0,0.041493801,8,122,wood,Meadow Wood,AL,34.3142598,-86.333316
124,123,121,0.281704605,0.718295395,0,0.041493801,8,123,wood,Tanglewood,AL,34.4911987,-86.1960924
125,124,121,0.419472015,0.580527985,0,0.041493801,8,124,wood,Lakewood,AL,34.8178657,-86.9827856
126,125,119,1,0,1,0.000924861,7,125,wood,Leatherwood,AL,33.7173237,-85.8766335
127,126,82,0.090137275,0.909862725,0,0.09180341,2,126,wood,Linwood,AL,31.9268218,-85.8641166
128,127,121,1,0,1,0.041493801,8,127,wood,Longwood,AL,34.7189799,-86.5813813
129,128,125,0.64917725,0.35082275,0,0.114263959,3,128,wood,Riverwood,AL,33.4131638,-86.7380432
130,129,125,0.316432031,0.683567969,0,0.114263959,3,129,wood,Shadywood,AL,33.3167791,-86.8977685
131,130,83,0.62075634,0.37924366,0,0.01049046,5,130,wood,Idlewood,AL,31.3326707,-85.8138264
132,131,126,0.293382676,0.706617324,0,0.228796238,8,131,wood,Fleetwood,AL,33.2392838,-87.4044469
133,132,53,0.129606292,0.870393708,0,0.076280536,7,132,wood,Gateswood,AL,30.7210232,-87.5808187
135,134,82,0.096463933,0.903536067,0,0.09180341,2,134,wood,Hillwood,AL,32.9254008,-86.3613643
136,135,53,0.100932537,0.899067463,0,0.076280536,7,135,wood,Homewood,AL,31.3696119,-87.5994351
139,138,126,0.295608745,0.704391255,0,0.228796238,8,138,wood,Englewood,AL,33.1117877,-87.5597284
140,139,119,1,0,1,0.000924861,7,139,wood,Greenwood,AL,33.91899,-85.5755157
141,140,83,1,0,1,0.01049046,5,140,wood,Brentwood,AL,31.2504521,-85.4485449
144,143,125,0.239909775,0.760090225,0,0.114263959,3,143,wood,Merrywood,AL,33.5864942,-86.9097157
145,144,125,0.381209355,0.618790645,0,0.114263959,3,144,wood,Kenwood,AL,33.4034425,-86.8416567
146,145,125,0.839106733,0.160893267,0,0.114263959,3,145,wood,Sagewood,AL,33.445385,-86.7633217
147,146,125,0.761640238,0.238359762,0,0.114263959,3,146,wood,Tanglewood,AL,33.4364965,-86.7749886
148,147,126,0.103754566,0.896245434,0,0.228796238,8,147,wood,Shadowood,AL,33.0404013,-87.7519552
149,148,126,0.422694838,0.577305162,0,0.228796238,8,148,wood,Valliwood,AL,33.24734,-87.667232
150,149,125,0.381987282,0.618012718,0,0.114263959,3,149,wood,Heatherwood,AL,33.7048237,-86.6455443
151,150,125,0.361490475,0.638509525,0,0.114263959,3,150,wood,Ridgewood,AL,33.7014905,-86.649711
152,151,125,0.258893207,0.741106793,0,0.114263959,3,151,wood,Saddlewood,AL,33.6470467,-86.5716528
153,152,83,0.531226597,0.468773403,0,0.01049046,5,152,wood,Ridgewood,AL,31.7921019,-85.9402278
156,155,44,0.612436915,0.387563085,0,0.015421556,8,155,wood,Haywood,AR,34.3628743,-91.9248596
157,156,44,1,0,1,0.015421556,8,156,wood,Westwood,AR,34.706759,-92.3701536
158,157,45,1,0,1,0.00231652,6,157,wood,Greenwood,AR,35.4500897,-94.4410482
159,158,44,0.636062484,0.363937516,0,0.015421556,8,158,wood,Dogwood,AR,34.2367632,-92.5265471
161,160,71,1,0,1,0.013733837,1,160,wood,Harwood,AR,33.1628986,-91.128164
164,163,73,1,0,1,0.000696121,4,163,wood,Dogwood,AR,35.8922961,-89.9186975
165,164,71,0.71558662,0.28441338,0,0.013733837,1,164,wood,Elmwood,AR,33.4653917,-91.2831702
166,165,45,1,0,1,0.00231652,6,165,wood,Greenwood,AR,35.2156489,-94.2557663
167,166,44,0.464838272,0.535161728,0,0.015421556,8,166,wood,Homewood,AR,35.0300883,-92.9765608
168,167,44,1,0.042169122,0,0.015421556,8,167,wood,Lakewood,AR,34.7945356,-92.2440379
169,168,44,0.612436915,0.387563085,0,0.015421556,8,168,wood,Linwood,AR,34.1537098,-91.7973541
171,170,44,1,0.189883165,0,0.015421556,8,170,wood,Sherwood,AR,34.8150907,-92.2243153
172,171,44,0.984237986,0.015762014,0,0.015421556,8,171,wood,Traskwood,AR,34.4492599,-92.6540523
173,172,44,0.612436915,0.387563085,0,0.015421556,8,172,wood,Eastwood,AR,34.3495408,-92.1443121
174,173,44,1,0,1,0.015421556,8,173,wood,Wildwood,AR,35.0084205,-92.066813
175,174,44,1,0,1,0.015421556,8,174,wood,Crestwood,AR,34.9845318,-92.0107003
176,175,44,1,0,1,0.015421556,8,175,wood,Whisperwood,AR,34.9384215,-91.9731986
177,176,44,0.419111878,0.580888122,0,0.015421556,8,176,wood,Northwood,AR,35.601746,-92.8665574
178,177,44,0.390768676,0.609231324,0,0.015421556,8,177,wood,Oakwood,AR,34.7109273,-93.3932449
179,178,44,0.62725058,0.37274942,0,0.015421556,8,178,wood,Dogwood,AR,35.0923099,-91.6554127
180,179,74,1,0,1,0.00269487,5,179,wood,Edgewood,AR,34.635377,-90.7856678
181,180,44,1,0,1,0.015421556,8,180,wood,Careywood,AR,34.6184263,-92.4879358
182,181,44,1,0.108024198,0,0.015421556,8,181,wood,Edgewood,AR,34.612593,-92.5057142
183,182,44,0.53851272,0.46148728,0,0.015421556,8,182,wood,Deerwood,AR,35.1425842,-92.7315535
185,184,44,1,0.116143964,0,0.015421556,8,184,wood,Candlewood,AR,34.8078687,-92.426267
186,185,44,1,0,1,0.015421556,8,185,wood,Yorkwood,AR,34.6525928,-92.3562643
187,186,44,1,0,1,0.015421556,8,186,wood,Rainwood,AR,34.7698138,-92.4048772
188,187,44,1,0.030445009,0,0.015421556,8,187,wood,Tanglewood,AR,34.8148131,-92.2598719
189,188,44,1,0,1,0.015421556,8,188,wood,Welders Wood,AR,34.9256438,-92.0068105
190,189,45,0.932876811,0.067123189,0,0.00231652,6,189,wood,Norwood,AR,36.1186916,-94.4613268
191,190,45,0.825719808,0.174280192,0,0.00231652,6,190,wood,Tanglewood,AR,36.3167404,-93.930198
192,191,44,0.377488307,0.622511693,0,0.015421556,8,191,wood,Beechwood,AR,36.0081326,-93.369071
194,193,44,0.553736941,0.446263059,0,0.015421556,8,193,wood,Elmwood,AR,34.2284311,-91.7206848
196,195,44,0.390768676,0.609231324,0,0.015421556,8,195,wood,Glenwood,AR,34.3267653,-93.5507428
198,197,44,0.53851272,0.46148728,0,0.015421556,8,197,wood,Kenwood,AR,35.1998054,-92.8126664
199,198,74,1,0,1,0.00269487,5,198,wood,Oakwood,AR,34.7300979,-90.7478887
200,199,45,1,0,1,0.00231652,6,199,wood,Brentwood,AR,35.8600807,-94.1071471
201,200,74,0.893717935,0.106282065,0,0.00269487,5,200,wood,Wildwood,AR,35.0095376,-90.4631569
202,201,6,0.611645593,0.388354407,0,0.002263022,1,201,wood,Cottonwood,AZ,36.0730594,-109.8923374
203,202,3,0.131892195,0.868107805,0,0.014112362,5,202,wood,Greasewood,AZ,35.5225125,-109.857338
204,203,3,0.148679203,0.851320797,0,0.014112362,5,203,wood,Hollywood,AZ,32.8295101,-109.6834127
205,204,3,0.88234394,0.11765606,0,0.014112362,5,204,wood,Cottonwood,AZ,33.0739454,-111.700687
206,205,3,0.165781994,0.834218006,0,0.014112362,5,205,wood,Greenwood,AZ,34.507794,-113.5946546
207,206,3,0.224601381,0.775398619,0,0.014112362,5,206,wood,Rowood,AZ,32.3683917,-112.845987
208,207,3,1,0,1,0.014112362,5,207,wood,Amberwood,AZ,33.3617143,-111.8693075
209,208,3,0.981025095,0.018974905,0,0.014112362,5,208,wood,Parkwood,AZ,33.4783759,-112.154318
210,209,3,1,0,1,0.014112362,5,209,wood,Pepperwood,AZ,33.3092153,-111.90403
211,210,3,1,0,1,0.014112362,5,210,wood,Sagewood,AZ,33.3881028,-111.8368069
212,211,3,1,0,1,0.014112362,5,211,wood,Sandalwood,AZ,33.6283742,-111.9984809
213,212,3,0.221800206,0.778199794,0,0.014112362,5,212,wood,Cottonwood,AZ,34.7391876,-112.0098791
214,213,24,0.95511242,0.04488758,0,0.0075284,1,213,wood,Glenwood,CA,37.1082804,-121.9866265
215,214,24,1,0.027654435,0,0.0075284,1,214,wood,Kenwood,CA,38.4138005,-122.5460935
217,216,13,0.339235728,0.660764272,0,0.045303609,7,216,wood,Atwood,CA,33.8655708,-117.8308905
219,218,19,1,0,1,0.009133522,5,218,wood,Englewood,CA,40.396528,-123.9389307
221,220,24,0.850019432,0.149980568,0,0.0075284,1,220,wood,Northwood,CA,38.4754693,-123.0016661
223,222,25,1,0,1,0.001985412,6,222,wood,Rosewood,CA,40.2695967,-122.556399
224,223,24,1,0,1,0.0075284,1,223,wood,Marinwood,CA,38.0382549,-122.5377558
227,226,20,1,0,1,0.005492702,8,226,wood,Homewood,CA,39.0868516,-120.1601901
228,227,20,1,0,1,0.005492702,8,227,wood,Kirkwood,CA,38.7026857,-120.0726855
230,229,24,0.615368012,0.384631988,0,0.0075284,1,229,wood,Brentwood,CA,37.931868,-121.6957863
231,230,25,1,0,1,0.001985412,6,230,wood,Cottonwood,CA,40.3857087,-122.2808356
232,231,13,1,0,1,0.045303609,7,231,wood,West Hollywood,CA,34.0900091,-118.3617443
233,232,13,0.199150744,0.800849256,0,0.045303609,7,232,wood,Wrightwood,CA,34.3608341,-117.6333884
234,233,24,1,0.168377902,0,0.0075284,1,233,wood,Saint Francis Wood,CA,37.7346534,-122.4680272
235,234,25,0.852297132,0.147702868,0,0.001985412,6,234,wood,Deadwood,CA,39.7423841,-121.5246927
236,235,25,1,0,1,0.001985412,6,235,wood,Deadwood,CA,40.719313,-122.733632
237,236,24,0.821894364,0.178105636,0,0.0075284,1,236,wood,Guernewood,CA,38.4926911,-123.0149998
238,237,19,1,0,1,0.009133522,5,237,wood,Rosewood,CA,40.7679049,-124.1656162
240,239,13,0.534034693,0.465965307,0,0.045303609,7,239,wood,Wildwood,CA,34.2955566,-118.2420201
241,240,24,0.914229575,0.085770425,0,0.0075284,1,240,wood,Alliance Redwood,CA,38.4338032,-122.9730539
243,242,19,1,0,1,0.009133522,5,242,wood,Fernwood,CA,40.8690207,-123.8506123
245,244,24,0.602697835,0.397302165,0,0.0075284,1,244,wood,Hagginwood,CA,38.6274043,-121.4324537
246,245,25,1,0,1,0.001985412,6,245,wood,Kirkwood,CA,39.8551578,-122.1619314
247,246,19,1,0,1,0.009133522,5,246,wood,Pepperwood,CA,40.4459712,-123.9928219
250,249,24,1,0,1,0.0075284,1,249,wood,Ravenswood,CA,37.4763272,-122.1352417
252,251,24,1,0,1,0.0075284,1,251,wood,Wildwood,CA,37.151335,-122.1360759
253,252,13,0.981710862,0.018289138,0,0.045303609,7,252,wood,Brentwood,CA,34.0519536,-118.4739692
254,253,13,0.731921945,0.268078055,0,0.045303609,7,253,wood,Fernwood,CA,34.0794518,-118.6025843
255,254,13,1,0,1,0.045303609,7,254,wood,Hollywood,CA,34.0983425,-118.3267434
256,255,13,0.913191658,0.086808342,0,0.045303609,7,255,wood,Inglewood,CA,33.9616801,-118.3531311
257,256,13,0.673510654,0.326489346,0,0.045303609,7,256,wood,Lakewood,CA,33.8536269,-118.1339563
258,257,13,0.102027839,0.897972161,0,0.045303609,7,257,wood,Lenwood,CA,34.8766497,-117.1039314
260,259,13,0.944888512,0.055111488,0,0.045303609,7,259,wood,Lynwood,CA,33.930293,-118.2114603
261,260,13,0.890680984,0.109319016,0,0.045303609,7,260,wood,Maywood,CA,33.9866807,-118.185349
262,261,13,1,0,1,0.045303609,7,261,wood,North Hollywood,CA,34.1722281,-118.3789684
263,262,13,0.116069248,0.883930752,0,0.045303609,7,262,wood,Pine Wood,CA,33.8141851,-116.7375177
266,265,13,1,0,1,0.045303609,7,265,wood,Westwood,CA,34.0561207,-118.4306347
267,266,24,0.625501528,0.374498472,0,0.0075284,1,266,wood,Cottonwood,CA,38.6582375,-121.9710801
268,267,13,0.742445165,0.257554835,0,0.045303609,7,267,wood,Wildwood,CA,34.0836184,-118.5995287
269,268,13,0.944888512,0.055111488,0,0.045303609,7,268,wood,Wyvernwood,CA,34.0241797,-118.214517
271,270,24,0.602697835,0.397302165,0,0.0075284,1,270,wood,Lake Wildwood,CA,39.232949,-121.2005115
272,271,13,0.439589112,0.560410888,0,0.045303609,7,271,wood,Nutwood,CA,33.8069601,-117.9500598
273,272,24,1,0,1,0.0075284,1,272,wood,Wildwood,CA,38.4035229,-122.5397045
275,274,24,1,0,1,0.0075284,1,274,wood,Greenwood,CA,38.1326967,-122.4608106
276,275,20,1,0,1,0.005492702,8,275,wood,Ridgewood,CA,39.2157401,-120.0924142
277,276,24,1,0,1,0.0075284,1,276,wood,Lindenwood,CA,37.4688271,-122.1816316
280,279,24,1,0,1,0.0075284,1,279,wood,Rollingwood,CA,37.9652012,-122.3299705
282,281,24,1,0,1,0.0075284,1,281,wood,Lindenwood,CA,37.4691667,-122.1794444
285,284,6,1,0,1,0.002263022,1,284,wood,Millwood,CO,37.4216616,-108.3336954
286,285,5,0.379432183,0.620567817,0,0.032719726,7,285,wood,Cottonwood,CO,39.7633211,-105.4247166
287,286,5,1,0,1,0.032719726,7,286,wood,Lakewood,CO,39.7047095,-105.0813734
288,287,5,0.065336852,0.934663148,0,0.032719726,7,287,wood,Atwood,CO,40.5477619,-103.2696575
289,288,5,0.373781628,0.626218372,0,0.032719726,7,288,wood,Sprucewood,CO,39.3488786,-105.120822
290,289,6,1,0,1,0.002263022,1,289,wood,Rockwood,CO,37.4908329,-107.8020103
291,290,6,1,0,1,0.002263022,1,290,wood,Norwood,CO,38.1305461,-108.2923037
292,291,5,0.136339327,0.863660673,0,0.032719726,7,291,wood,Hollywood,CO,38.7094339,-105.1333138
293,292,5,0.136339327,0.863660673,0,0.032719726,7,292,wood,Greenwood,CO,38.2050032,-105.0969343
294,293,5,0.119101327,0.880898673,0,0.032719726,7,293,wood,Cottonwood,CO,37.9344441,-105.6441777
295,294,5,0.119101327,0.880898673,0,0.032719726,7,294,wood,Cedarwood,CO,37.9416751,-104.617478
296,295,5,0.22116957,0.77883043,0,0.032719726,7,295,wood,Arrowood,CO,40.1872073,-105.5108321
297,296,5,0.366316115,0.633683885,0,0.032719726,7,296,wood,Ridgewood,CO,39.9658199,-105.4236062
298,297,5,1,0,1,0.032719726,7,297,wood,Englewood,CO,39.6477653,-104.9877597
299,298,5,0.597863129,0.402136871,0,0.032719726,7,298,wood,Cottonwood,CO,39.5624887,-104.8019201
300,299,5,0.679848982,0.320151018,0,0.032719726,7,299,wood,Applewood,CO,39.7577778,-105.1625
301,300,5,1,0,1,0.032719726,7,300,wood,Castlewood,CO,39.5847104,-104.9010903
302,301,5,0.679848982,0.320151018,0,0.032719726,7,301,wood,Sherrelwood,CO,39.8377637,-105.0013701
303,302,5,0.663742669,0.336257331,0,0.032719726,7,302,wood,Meadowood,CO,39.6588889,-104.8038889
304,303,5,1,0,1,0.032719726,7,303,wood,Wildwood,CO,39.7705556,-105.1025
305,304,5,0.747480749,0.252519251,0,0.032719726,7,304,wood,Leawood,CO,39.6036111,-105.0636111
306,305,111,0.724035024,0.275964976,0,0.017128688,5,305,wood,Birchwood,CT,41.8978756,-72.7212048
307,306,111,1,0,1,0.017128688,5,306,wood,Edgewood,CT,41.7025985,-72.9242692
308,307,111,0.668154968,0.331845032,0,0.017128688,5,307,wood,Elmwood,CT,41.7331558,-72.7225949
